,회사명,corp_eng_name,종목코드
13751,글로웍스,"Gloworks Co.,Ltd.",34600
13762,중국식품포장유한공사,"CHINA FOOD PACKAGING INC.,LTD",900060
13806,동북아3호선박투자회사,Dongbuka  No.3 Ship Investment Company Co.Ltd,80960
13902,지아이바이오,"GIBIO Co., Ltd.",35450
13984,알에스넷,"R&S Networks Co., Ltd.",46430
13999,나이스메탈,"Nice Metal Co.,LTD",72530
14229,하나IB증권,Hana Investment Banking & Securities Inc.,3330
14250,퓨쳐비젼,"FUTURE VISION CO.,LTD",42570
14364,이레전자산업,"E-RAE Electronics Industry Co., Ltd.",45310
14562,레이더스컴퍼니,"Raiders Company Co., Ltd.",47420
14625,포이보스,"POIBOS CO., LTD",38810
14626,미디어코프,"MEDIAcorp, INC.",53890
14627,케이디세코,"K-D'seco Co., Ltd.",73780
14628,이노블루,"InnoBlue Co.,Ltd.",66200
14629,도움,"DOMCO.,LTD.",78610
14630,엑스씨이,"eXtendedComputingEnvironmentCO.,LTD.",81500
14741,코오롱유화,"KOLON CHEMICAL CO.,LTD",11020
15270,세라온홀딩스,"SERAONHOLDINGS CO.,LTD",50600
15294,현대경매부동산일호투자회사,HYUNDAI AUCTION REAL ESTATE FUND 1ST,83160
15308,우수씨엔에스,"WOOSU CNS CO., LTD.",60550
15314,동북아31호선박투자회사,Dongbuka No. 31 Ship Investment Company,93730
15358,후야인포넷,"HOOYA INFONET CO., LTD.",32050
15399,이레아이엔씨,"Erae I&C co.,Ltd",36900
15414,카스코,"KOREA AUTOMOTIVE SYSTEMS CO.,LTD",5330
15463,모델라인,"ModelLine Co.,  Ltd.",64720
15466,청람디지탈,"CHUNG LAM DIGITAL CO.,LTD",35270
15467,한텔,Hantel Co. Ltd,41940
15646,코스모스피엘씨,"Cosmos PLC Co., Ltd.",53170
15647,나노하이텍,"NANO HITEC ELECTRONIC CO.,LTD.",71360
15648,쓰리소프트,3SOFT. Inc.,36360
15649,트라이콤,TRICOMINC.,38410
15650,케이엔에스홀딩스,KNS HOLDINGS INC.,36760
15651,지비에스,"GBS Co., Ltd.",76170
15652,피더블유제네틱스,"PWGenetics Co., Ltd.",65910
15700,엠텍반도체,"Mtek Semicon CO.,LTD",54440
15747,세니콘,"CENICONE CO., LTD",56060
15814,유씨아이콜스,UC IndustryCommunityOnLineServices Inc.,65810
15948,코크렙제3호CR리츠,KOCREF CR-REITIII,73530
16156,아이티센네트웍스,"ITCEN NETWORKS CO., LTD.",57110
16174,리얼티코리아제1호기업구조조정부동산투자,"REALTY KOREA CR REIT CO.,LTD",72450
16340,BHK,BHK Inc.,3990
16341,포넷,"FONET Co., Ltd.",48270
16489,맥슨텔레콤,"MAXON TELECOM CO.,LTD",9890
16926,엔토리노,nTorino Corporation Inc.,32590
16965,두림티앤씨,"DOORIM T&C CO., LTD.",33330
16982,동북아27호선박투자회사,Dongbuka No. 27 Ship Investment Company,89170
16983,동북아28호선박투자회사,Dongbuka No. 28 Ship Investment Company,89180
16984,동북아30호선박투자회사,Dongbuka No. 30 Ship Investment Company,89200
16985,동북아29호선박투자회사,Dongbuka No. 29 Ship Investment Company,89190
17037,현주컴퓨터,HYUNJU COMPUTER CO. LTD,38960
17158,LG석유화학,"LG PETROCHEMICAL CO.,LTD",12990
17178,오브제,"OBZEE CO., LTD",58680
17338,휴닉스,HUNIX INC.,9790
17363,세이프아시아,"Safe Asia Co., Ltd.",66330
17457,코크렙제1호기업구조조정부동산투자회사,KOCREF CR-REIT1,67910
17698,위너스인프라인,Winners Infraline Corporation,5760
17850,AP우주통신,"Asia Pacific Space Telecom Co., Ltd",15670
17900,조이토토,"Joytoto Co., Ltd",44370
17901,한도하이테크,"HANDO HI-TECH CO., LTD.",60660
17902,에너윈,"ENERWIN Co.,Ltd.",55970
18044,유레스메리츠제1호,UresMeritz1stCR-REIT,73470
18092,교보메리츠퍼스트기업구조조정부동산투자회사,KYOBO-MERITZ FIRST CR-REIT,64900
18106,굿앤리치부동산공경매투자회사1호,GOOD&RICH REAL ESTATE AUCTION FUND[1],85450
18159,한국합섬,HANKOOK SYNTHETICS INC,25830
18338,굿앤리치부동산공경매투자회사2호,Good&Rich real estate auction fund[2],88510
18417,디에스피이엔티,"DSP Ent Co., Ltd.",16040
18496,시큐어소프트,SecureSoft Inc.,37060
18502,동부일렉트로닉스,"DONGBUELECTRONICS CO.,LTD",1830
18675,고려시멘트,"KOREA CEMENT co., Ltd",3660
18677,베스트플로우,BestFlow Inc.,60410
18765,쿨투,CUL 2 Inc.,56020
18880,우영,Wooyoung,12460
19455,모빌링크텔레콤,"Mobilink Telecom Co., Ltd.",41310
19914,극동제혁,"KEUKDONG TANNING CO.,LTD",10200
19921,한마음상호저축은행,HANMAUM MUTUAL SAVINGS BANK,25450
19960,그로웰전자,"Growell Electronics, Inc.",9220
19978,부흥,"BOOHUNG CO.,LTD",3930
